	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YIL009C-A	-0.131
YDR098C	-1.586
YKR020W	0.076
YJR094C	-0.147
YJR054W	0.035
YDL226C	-0.052
YCL034W	-1.429
YMR067C	-0.297
YHR093W	-0.474
YDR456W	0.097
YHL013C	-0.475
YJL120W	-0.027
YGR237C	-0.653
YJL037W	0.612
YGL212W	0.021
YCR019W	-0.027
YGR127W	-0.126
YKL183W	0.008
YNL058C	0.337
YGR254W	0.268
YJR024C	1.095
YOR319W	NaN
YDR203W	0.474
YFL050C	-0.165
YOR086C	0.032
YNL022C	-0.139
YGR162W	2.535
YER084W	-0.005
YBR189W	0.173
YNL031C	-0.085
YBR170C	0.219
YCR020W-B	0.556
YKL090W	0.260
YHR103W	-1.750
YOR061W	0.102
YLR394W	-0.854
YGL167C	-0.061
YGL166W	-0.715
YPL107W	-0.042
YAL023C	0.771
YOR195W	-1.335
YLR461W	-0.002
YNL057W	-0.020
YKL094W	-0.067
YCL016C	-6.811
YLR422W	0.010
YML124C	1.753
YML082W	0.282
YKL159C	1.342
YBL024W	-0.806
YPL083C	NaN
YLL060C	-0.138
YNL120C	3.575
YKR014C	-0.794
YAR003W	-0.026
YIL095W	0.085
YFR013W	1.165
YDR130C	0.052
YDL236W	1.707
YLR295C	NaN
YDR024W	-0.003
YBR267W	0.978
YNL135C	-0.431
YMR232W	-0.517
YJL060W	-0.025
YER175C	0.037
YMR184W	-0.059
YKL170W	NaN
YOL058W	0.067
YER149C	0.021
YDL070W	-1.276
YKL161C	-0.178
YIR035C	0.694
YLL046C	0.518
YIL036W	0.669
YGR134W	0.203
YPL013C	1.549
YOL007C	-0.424
YLR168C	0.039
YKR098C	0.793
YPL028W	NaN
YLR031W	0.417
YIL016W	0.022
YPR135W	-2.338
YIR025W	1.769
YDR457W	0.765
YGR053C	0.743
YBR036C	1.141
YPL121C	0.000
YGR273C	0.224
YDR094W	-0.665
YJL196C	-0.069
YDL100C	2.254
YDR515W	0.000
YBR104W	-0.120
YGR269W	0.041
YBL038W	2.699
YJR092W	-0.336
YNL301C	0.223
YLR311C	-0.068
YCR095C	-0.116
YDR282C	1.768
YPR028W	-0.296
YLL007C	-0.128
YDR502C	-0.525
YBR187W	0.552
YDR534C	0.311
YOR245C	-1.164
YDL063C	0.025
YOR268C	-0.322
YDR065W	2.275
YER001W	-0.942
YDR279W	-0.020
YAR027W	-0.464
YPL006W	0.005
YMR126C	0.013
YLR199C	-0.035
YKR030W	0.111
YOR062C	-0.029
YHL023C	-1.437
YLR388W	0.123
YJL105W	-0.121
YER152C	0.032
YJL212C	1.092
YJL046W	-0.134
YDR245W	0.916
YPL061W	0.083
YOR002W	0.383
YOR215C	0.128
